"source","phase","table","category","level","rolls_min","rolls_max","to_each","display_name","weight","stack_min","stack_max","pool_total_weight","pick_chance_per_roll","registry_name","meta","entry_class","nbt"
"chestgenhooks","pre","","TinkerHouse","","3","27","","Slime Binding","15","1","1","961","0.015609","TConstruct:binding","8","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Paper Binding","15","1","1","961","0.015609","TConstruct:binding","9","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Binding","15","1","1","961","0.015609","TConstruct:binding","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Binding","15","1","1","961","0.015609","TConstruct:binding","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Slime Binding","15","1","1","961","0.015609","TConstruct:binding","17","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Sword Blade","15","1","1","961","0.015609","TConstruct:swordBlade","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Sword Blade","15","1","1","961","0.015609","TConstruct:swordBlade","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Flint Sword Blade","15","1","1","961","0.015609","TConstruct:swordBlade","3","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Sword Blade","15","1","1","961","0.015609","TConstruct:swordBlade","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Sword Blade","15","1","1","961","0.015609","TConstruct:swordBlade","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Wide Guard","15","1","1","961","0.015609","TConstruct:wideGuard","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Wide Guard","15","1","1","961","0.015609","TConstruct:wideGuard","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bone Wide Guard","15","1","1","961","0.015609","TConstruct:wideGuard","5","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Obsidian Wide Guard","15","1","1","961","0.015609","TConstruct:wideGuard","6","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Wide Guard","15","1","1","961","0.015609","TConstruct:wideGuard","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Wide Guard","15","1","1","961","0.015609","TConstruct:wideGuard","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Hand Guard","15","1","1","961","0.015609","TConstruct:handGuard","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Hand Guard","15","1","1","961","0.015609","TConstruct:handGuard","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Obsidian Hand Guard","15","1","1","961","0.015609","TConstruct:handGuard","6","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Hand Guard","15","1","1","961","0.015609","TConstruct:handGuard","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Hand Guard","15","1","1","961","0.015609","TConstruct:handGuard","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Wooden Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","0","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bone Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","5","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Obsidian Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","6","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Crossbar","15","1","1","961","0.015609","TConstruct:crossbar","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Flint Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","3","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Cactus Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","4","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bone Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","5","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Knife Blade","15","1","1","961","0.015609","TConstruct:knifeBlade","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Pan","15","1","1","961","0.015609","TConstruct:frypanHead","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Pan","15","1","1","961","0.015609","TConstruct:frypanHead","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Pan","15","1","1","961","0.015609","TConstruct:frypanHead","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Pan","15","1","1","961","0.015609","TConstruct:frypanHead","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Wooden Sign Head","15","1","1","961","0.015609","TConstruct:signHead","0","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Sign Head","15","1","1","961","0.015609","TConstruct:signHead","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Sign Head","15","1","1","961","0.015609","TConstruct:signHead","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Obsidian Sign Head","15","1","1","961","0.015609","TConstruct:signHead","6","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Slime Sign Head","15","1","1","961","0.015609","TConstruct:signHead","8","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Sign Head","15","1","1","961","0.015609","TConstruct:signHead","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Sign Head","15","1","1","961","0.015609","TConstruct:signHead","14","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Stone Chisel Head","15","1","1","961","0.015609","TConstruct:chiselHead","1","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Iron Chisel Head","15","1","1","961","0.015609","TConstruct:chiselHead","2","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Copper Chisel Head","15","1","1","961","0.015609","TConstruct:chiselHead","13","",""
"chestgenhooks","pre","","TinkerHouse","","3","27","","Bronze Chisel Head","15","1","1","961","0.015609","TConstruct:chiselHead","14","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Tool Rod Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","1","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Pickaxe Head Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","2","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Shovel Head Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","3","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Axe Head Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","4","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Sword Blade Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","5","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Wide Guard Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","6","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Hand Guard Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","7","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Crossbar Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","8","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Tool Binding Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","9","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Pan Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","10","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Wide Board Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","11","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Knife Blade Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","12","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Chisel Head Pattern","20","1","3","300","0.066667","TConstruct:woodPattern","13","",""
"chestgenhooks","pre","","TinkerPatterns","","5","30","","Full Guard Pattern","40","1","3","300","0.133333","TConstruct:woodPattern","22","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Stick","10","1","3","91","0.109890","minecraft:stick","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Oak Wood Planks","10","1","3","91","0.109890","minecraft:planks","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Oak Wood","10","1","3","91","0.109890","minecraft:log","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Apple","5","2","3","91","0.054945","minecraft:apple","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Bread","3","2","3","91","0.032967","minecraft:bread","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Acacia Wood","10","1","3","91","0.109890","minecraft:log2","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Treetap","2","1","1","91","0.021978","IC2:itemTreetap","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Wading Boots","5","1","1","91","0.054945","BiomesOPlenty:wadingBoots","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Flippers","5","1","1","91","0.054945","BiomesOPlenty:flippers","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Lexica Botania","7","1","1","91","0.076923","Botania:lexicon","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Black Lotus","1","1","1","91","0.010989","Botania:blackLotus","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Codex","1","1","1","91","0.010989","VillageNames:codex","0","",""
"chestgenhooks","pre","","bonusChest","","10","10","","Broadsword","10","0","1","91","0.109890","TConstruct:broadsword","0","RandomWeaponChestContent",""
"chestgenhooks","pre","","bonusChest","","10","10","","Starter Pickaxe","5","1","1","91","0.054945","TConstruct:pickaxe","0","","{InfiTool:{HarvestLevel:0,Handle:0,BaseDurability:38,BonusDurability:0,Damage:0,Shoddy:0.0f,Broken:0b,BaseAttack:2,Head:0,RenderHandle:0,Accessory:0,ModDurability:0.0f,Attack:2,MiningSpeed:150,RenderAccessory:0,Modifiers:0,Unbreaking:0,TotalDurability:38,RenderHead:0,ToolLevel:1,ToolEXP:0L},display:{Name:""Starter Pickaxe""}}"
"chestgenhooks","pre","","bonusChest","","10","10","","Starter Hatchet","5","1","1","91","0.054945","TConstruct:hatchet","0","","{InfiTool:{HarvestLevel:0,Handle:0,BaseDurability:38,BonusDurability:0,Damage:0,ToolEXP:0L,Broken:0b,BaseAttack:4,Shoddy:0.0f,Head:0,RenderHandle:0,ModDurability:0.0f,Attack:4,MiningSpeed:150,Modifiers:0,Unbreaking:0,TotalDurability:38,RenderHead:0,ToolLevel:1},display:{Name:""Starter Hatchet""}}"
"chestgenhooks","pre","","bonusChest","","10","10","","Purple Drink","2","8","16","91","0.021978","gregtech:gt.metaitem.02","32100","",""
"chestgenhooks","pre","","composting","","1","1","","Bone Meal","10","1","1","10","1.000000","minecraft:dye","15","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Saddle","10","1","1","1536","0.006510","minecraft:saddle","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Iron Ingot","10","1","4","1536","0.006510","minecraft:iron_ingot","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Bread","10","1","1","1536","0.006510","minecraft:bread","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Wheat","10","1","4","1536","0.006510","minecraft:wheat","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Gunpowder","10","1","4","1536","0.006510","minecraft:gunpowder","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","String","10","1","4","1536","0.006510","minecraft:string","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Bucket","10","1","1","1536","0.006510","minecraft:bucket","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Golden Apple","1","1","1","1536","0.000651","minecraft:golden_apple","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Redstone","10","1","4","1536","0.006510","minecraft:redstone","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","10","1","1","1536","0.006510","minecraft:record_13","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","10","1","1","1536","0.006510","minecraft:record_cat","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Name Tag","10","1","1","1536","0.006510","minecraft:name_tag","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Gold Horse Armor","2","1","1","1536","0.001302","minecraft:golden_horse_armor","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Iron Horse Armor","5","1","1","1536","0.003255","minecraft:iron_horse_armor","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Diamond Horse Armor","1","1","1","1536","0.000651","minecraft:diamond_horse_armor","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Enchanted Book","1","1","1","1536","0.000651","minecraft:enchanted_book","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Copper Ingot","100","2","5","1536","0.065104","IC2:itemIngot","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Tin Ingot","100","2","5","1536","0.065104","IC2:itemIngot","1","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Iridium Ore","20","1","2","1536","0.013021","IC2:itemOreIridium","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Iridium Shard","100","6","14","1536","0.065104","IC2:itemShardIridium","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_blocks","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_chirp","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_far","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_mall","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_mellohi","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_stal","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_strad","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_ward","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_11","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","5","1","1","1536","0.003255","minecraft:record_wait","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Steel Sword","5","1","1","1536","0.003255","Railcraft:tool.steel.sword","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Steel Helmet","5","1","1","1536","0.003255","Railcraft:armor.steel.helmet","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Steel Chestplate","5","1","1","1536","0.003255","Railcraft:armor.steel.plate","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Steel Leggings","5","1","1","1536","0.003255","Railcraft:armor.steel.legs","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Steel Boots","5","1","1","1536","0.003255","Railcraft:armor.steel.boots","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Manasteel Ingot","9","1","5","1536","0.005859","Botania:manaResource","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Lexica Botania","6","1","1","1536","0.003906","Botania:lexicon","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mana in a Bottle","5","1","1","1536","0.003255","Botania:manaBottle","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Black Lotus","6","1","1","1536","0.003906","Botania:blackLotus","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Overgrowth Seed","2","1","1","1536","0.001302","Botania:overgrowthSeed","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","White Stone [Uncharged]","0","1","1","1536","0.000000","RandomThings:whitestone","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Amazing Technicolor Glasses","2","1","1","1536","0.001302","OpenBlocks:technicolorGlasses","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Useless Frame","14","1","1","1536","0.009115","miscutils:frameUseless","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mutagenic Frame","12","1","3","1536","0.007813","miscutils:frameMutagenic","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Miniature Red Heart","5","1","1","1536","0.003255","TConstruct:heartCanister","1","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Temple Caller","1","0","1","1536","0.000651","HardcoreEnderExpansion:temple_caller","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Knowledge Note","6","1","1","1536","0.003906","HardcoreEnderExpansion:knowledge_note","0","WeightedRandomKnowledgeNote",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Standard Binding Agent","6","1","3","1536","0.003906","AWWayofTime:standardBindingAgent","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mundane Power Catalyst","4","1","1","1536","0.002604","AWWayofTime:mundanePowerCatalyst","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mundane Lengthening Catalyst","4","1","1","1536","0.002604","AWWayofTime:mundaneLengtheningCatalyst","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Average Power Catalyst","2","1","1","1536","0.001302","AWWayofTime:averagePowerCatalyst","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Average Lengthening Catalyst","2","1","1","1536","0.001302","AWWayofTime:averageLengtheningCatalyst","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Greater Power Catalyst","1","1","1","1536","0.000651","AWWayofTime:greaterPowerCatalyst","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Greater Lengthening Catalyst","1","1","1","1536","0.000651","AWWayofTime:greaterLengtheningCatalyst","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Floppy Disk","5","1","1","1536","0.003255","OpenComputers:item","4","Loot",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Broken Relic of Mjolnir","25","0","1","1536","0.016276","EMT:TaintedMjolnir","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","§2The One Ring","5","0","1","1536","0.003255","EMT:BaseBaubles","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Disposable Item Turret","15","1","2","1536","0.009766","openmodularturrets:disposeItemTurret","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Turret Base (Tier 1)","15","1","1","1536","0.009766","openmodularturrets:baseTierWood","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Basic Turret Base Crank","15","1","1","1536","0.009766","openmodularturrets:leverBlock","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Broadsword","2","0","1","1536","0.001302","TConstruct:broadsword","0","RandomWeaponChestContent",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Common Treasure","5","1","3","1536","0.003255","Thaumcraft:ItemLootBag","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Thaumium Ingot","5","1","3","1536","0.003255","Thaumcraft:ItemResource","2","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Amber","5","1","3","1536","0.003255","Thaumcraft:ItemResource","6","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Uncommon Treasure","4","1","2","1536","0.002604","Thaumcraft:ItemLootBag","1","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mundane Amulet","4","1","2","1536","0.002604","Thaumcraft:ItemBaubleBlanks","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mundane Ring","4","1","2","1536","0.002604","Thaumcraft:ItemBaubleBlanks","1","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Mundane Belt","4","1","2","1536","0.002604","Thaumcraft:ItemBaubleBlanks","2","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Knowledge Fragment","4","1","2","1536","0.002604","Thaumcraft:ItemResource","9","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Rare Treasure","1","1","1","1536","0.000651","Thaumcraft:ItemLootBag","2","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Thaumonomicon","1","1","1","1536","0.000651","Thaumcraft:ItemThaumonomicon","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Thaumium Sword","1","1","1","1536","0.000651","Thaumcraft:ItemSwordThaumium","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Thaumium Pickaxe","1","1","1","1536","0.000651","Thaumcraft:ItemPickThaumium","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Thaumium Axe","1","1","1","1536","0.000651","Thaumcraft:ItemAxeThaumium","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Thaumium Hoe","1","1","1","1536","0.000651","Thaumcraft:ItemHoeThaumium","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Ring of Protection","1","1","1","1536","0.000651","Thaumcraft:ItemRingRunic","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Apprentices Ring of Aer","1","1","1","1536","0.000651","Thaumcraft:ItemBaubleBlanks","3","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Apprentices Ring of Terra","1","1","1","1536","0.000651","Thaumcraft:ItemBaubleBlanks","4","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Apprentices Ring of Ignis","1","1","1","1536","0.000651","Thaumcraft:ItemBaubleBlanks","5","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Apprentices Ring of Aqua","1","1","1","1536","0.000651","Thaumcraft:ItemBaubleBlanks","6","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Apprentices Ring of Ordo","1","1","1","1536","0.000651","Thaumcraft:ItemBaubleBlanks","7","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Apprentices Ring of Perditio","1","1","1","1536","0.000651","Thaumcraft:ItemBaubleBlanks","8","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Vis Stone","1","1","1","1536","0.000651","Thaumcraft:ItemAmuletVis","0","","{aer:0,perditio:0,aqua:200,ignis:400,terra:300,ordo:400}"
"chestgenhooks","pre","","dungeonChest","","8","8","","Division Sigil","8","1","1","1536","0.005208","ExtraUtilities:divisionSigil","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Steadfast Drone","10","1","1","1536","0.006510","Forestry:beeDroneGE","0","","{MaxH:40,Health:40,IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.speciesSteadfast"",UID1:""forestry.speciesSteadfast""},1:{Slot:1b,UID0:""forestry.speedSlower"",UID1:""forestry.speedSlower""},2:{Slot:2b,UID0:""forestry.lifespanNormal"",UID1:""forestry.lifespanNormal""},3:{Slot:3b,UID0:""forestry.fertilityNormal"",UID1:""forestry.fertilityNormal""},4:{Slot:4b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},5:{Slot:5b,UID0:""forestry.boolTrue"",UID1:""forestry.boolTrue""},6:{Slot:7b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},7:{Slot:8b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},8:{Slot:9b,UID0:""forestry.boolTrue"",UID1:""forestry.boolTrue""},9:{Slot:10b,UID0:""forestry.flowersVanilla"",UID1:""forestry.flowersVanilla""},10:{Slot:11b,UID0:""forestry.floweringSlowest"",UID1:""forestry.floweringSlowest""},11:{Slot:12b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},12:{Slot:13b,UID0:""forestry.effectNone"",UID1:""forestry.effectNone""}]}}"
"chestgenhooks","pre","","dungeonChest","","8","8","","Lesser Ring of Ender Disjunction","1","1","1","1536","0.000651","Automagy:baubleEnderDisjunction","1","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Phial of Enchanter's Concentrate","3","1","3","1536","0.001953","Automagy:phialExtra","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","1","1","1","1536","0.000651","etfuturum:otherside_record","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","1","1","1","1536","0.000651","etfuturum:precipice_record","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","1","1","1","1536","0.000651","etfuturum:creator_music_box_record","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Music Disc","1","1","1","1536","0.000651","etfuturum:creator_record","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Disc Fragment","1","1","1","1536","0.000651","etfuturum:disc_fragment_5","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Beetroot Seeds","5","1","2","1536","0.003255","etfuturum:beetroot_seeds","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Ultimate Stew","5","1","32","1536","0.003255","Avaritia:Ultimate_Stew","0","",""
"chestgenhooks","pre","","dungeonChest","","8","8","","Cosmic Meatballs","5","1","32","1536","0.003255","Avaritia:Cosmic_Meatballs","0","",""
