ore,layer,centre_x,min_y,centre_z,tp,dist_from_spawn,west_x,east_x,north_z,south_z,size_x,size_z,dimension,route_stable
beryllium,ore.mix.beryllium,22,19,-124,/tp 22 19 -124,142,3,42,-140,-107,39,33,-1,yes
iron,ore.mix.iron,121,11,119,/tp 121 11 119,144,112,131,102,137,19,35,-1,yes
netherquartz,ore.mix.netherquartz,31,49,168,/tp 31 49 168,150,16,46,152,184,30,32,-1,yes
netherquartz,ore.mix.netherquartz,169,69,24,/tp 169 69 24,150,154,185,16,33,31,17,-1,yes
beryllium,ore.mix.beryllium,-122,18,71,/tp -122 18 71,151,-143,-101,63,80,42,17,-1,yes
tetrahedrite,ore.mix.tetrahedrite,166,112,-16,/tp 166 112 -16,151,155,177,-38,6,22,44,-1,yes
sulfur,ore.mix.sulfur,74,12,-124,/tp 74 12 -124,152,48,101,-149,-99,53,50,-1,yes
sulfur,ore.mix.sulfur,-124,5,-34,/tp -124 5 -34,152,-146,-102,-55,-13,44,42,-1,yes
redstone,ore.mix.redstone,-22,19,170,/tp -22 19 170,157,-47,4,143,198,51,55,-1,yes
iron,ore.mix.iron,169,31,72,/tp 169 31 72,159,155,183,41,103,28,62,-1,yes
redstone,ore.mix.redstone,69,24,172,/tp 69 24 172,162,47,91,155,189,44,34,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-75,88,-121,/tp -75 88 -121,168,-93,-56,-149,-92,37,57,-1,yes
tetrahedrite,ore.mix.tetrahedrite,163,90,-70,/tp 163 90 -70,169,144,182,-81,-58,38,23,-1,yes
iron,ore.mix.iron,-119,18,-80,/tp -119 18 -80,169,-138,-100,-97,-63,38,34,-1,yes
iron,ore.mix.iron,119,27,-121,/tp 119 27 -121,171,92,146,-134,-107,54,27,-1,yes
manganese,ore.mix.manganese,117,20,163,/tp 117 20 163,175,103,132,149,177,29,28,-1,yes
iron,ore.mix.iron,-67,28,170,/tp -67 28 170,175,-92,-41,159,181,51,22,-1,yes
netherquartz,ore.mix.netherquartz,-125,51,123,/tp -125 51 123,178,-144,-105,109,138,39,29,-1,yes
iron,ore.mix.iron,-160,32,15,/tp -160 32 15,179,-183,-137,-5,36,46,41,-1,yes
copper,ore.mix.copper,168,21,122,/tp 168 21 122,182,139,198,99,145,59,46,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,27,13,-169,/tp 27 13 -169,187,10,45,-186,-152,35,34,-1,yes
sulfur,ore.mix.sulfur,74,7,-162,/tp 74 7 -162,188,48,100,-186,-138,52,48,-1,yes
sulfur,ore.mix.sulfur,-163,9,-32,/tp -163 9 -32,189,-179,-147,-54,-10,32,44,-1,yes
iron,ore.mix.iron,-21,28,-168,/tp -21 28 -168,190,-47,6,-177,-158,53,19,-1,yes
beryllium,ore.mix.beryllium,-166,15,70,/tp -166 15 70,192,-178,-153,51,90,25,39,-1,yes
netherquartz,ore.mix.netherquartz,212,59,22,/tp 212 59 22,193,189,236,-1,45,47,46,-1,yes
beryllium,ore.mix.beryllium,210,7,68,/tp 210 7 68,197,195,226,54,83,31,29,-1,yes
sulfur,ore.mix.sulfur,-116,13,-125,/tp -116 13 -125,197,-135,-96,-148,-101,39,47,-1,yes
copper,ore.mix.copper,26,43,217,/tp 26 43 217,199,-2,54,195,239,56,44,-1,yes
netherquartz,ore.mix.netherquartz,214,43,-32,/tp 214 43 -32,201,188,240,-49,-14,52,35,-1,yes
quartz,ore.mix.quartz,166,80,-121,/tp 166 80 -121,202,148,185,-134,-107,37,27,-1,yes
manganese,ore.mix.manganese,-114,24,170,/tp -114 24 170,202,-128,-100,151,189,28,38,-1,yes
iron,ore.mix.iron,-25,16,215,/tp -25 16 215,202,-50,0,186,244,50,58,-1,yes
sulfur,ore.mix.sulfur,-160,13,115,/tp -160 13 115,204,-180,-140,102,128,40,26,-1,yes
manganese,ore.mix.manganese,68,23,216,/tp 68 23 216,204,50,87,200,232,37,32,-1,yes
sulfur,ore.mix.sulfur,-76,13,-165,/tp -76 13 -165,206,-88,-64,-193,-137,24,56,-1,yes
copper,ore.mix.copper,-172,35,-73,/tp -172 35 -73,212,-193,-150,-88,-58,43,30,-1,yes
iron,ore.mix.iron,129,10,-168,/tp 129 10 -168,216,112,147,-184,-151,35,33,-1,yes
sulfur,ore.mix.sulfur,172,12,173,/tp 172 12 173,218,149,195,147,199,46,52,-1,yes
molybdenum,ore.mix.molybdenum,220,21,-69,/tp 220 21 -69,219,208,233,-88,-50,25,38,-1,yes
quartz,ore.mix.quartz,116,96,214,/tp 116 96 214,219,98,134,197,232,36,35,-1,yes
iron,ore.mix.iron,-69,28,222,/tp -69 28 222,222,-90,-48,205,240,42,35,-1,yes
sulfur,ore.mix.sulfur,-119,9,-159,/tp -119 9 -159,224,-145,-92,-180,-138,53,42,-1,yes
netherquartz,ore.mix.netherquartz,222,53,120,/tp 222 53 120,227,206,239,107,133,33,26,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-165,113,-120,/tp -165 113 -120,230,-186,-144,-135,-105,42,30,-1,yes
sulfur,ore.mix.sulfur,-165,12,158,/tp -165 12 158,231,-179,-151,140,177,28,37,-1,yes
sulfur,ore.mix.sulfur,28,11,-214,/tp 28 11 -214,232,4,52,-227,-201,48,26,-1,yes
iron,ore.mix.iron,-214,12,12,/tp -214 12 12,233,-234,-194,-7,32,40,39,-1,yes
manganese,ore.mix.manganese,-20,22,-214,/tp -20 22 -214,235,-32,-7,-233,-195,25,38,-1,yes
redstone,ore.mix.redstone,171,13,-165,/tp 171 13 -165,238,153,189,-183,-146,36,37,-1,yes
netherquartz,ore.mix.netherquartz,68,42,-216,/tp 68 42 -216,239,53,83,-228,-204,30,24,-1,yes
copper,ore.mix.copper,160,40,211,/tp 160 40 211,239,143,177,194,229,34,35,-1,yes
sulfur,ore.mix.sulfur,-121,11,214,/tp -121 11 214,241,-139,-103,197,231,36,34,-1,yes
netherquartz,ore.mix.netherquartz,-219,53,-27,/tp -219 53 -27,242,-243,-194,-51,-2,49,49,-1,yes
iron,ore.mix.iron,261,26,33,/tp 261 26 33,242,250,273,13,53,23,40,-1,yes
sulfur,ore.mix.sulfur,-218,12,80,/tp -218 12 80,245,-231,-204,64,97,27,33,-1,yes
redstone,ore.mix.redstone,219,16,-123,/tp 219 16 -123,245,199,240,-144,-101,41,43,-1,yes
copper,ore.mix.copper,28,22,265,/tp 28 22 265,247,15,41,237,294,26,57,-1,yes
redstone,ore.mix.redstone,-208,10,115,/tp -208 10 115,247,-225,-191,93,137,34,44,-1,yes
netherquartz,ore.mix.netherquartz,260,56,76,/tp 260 56 76,248,239,281,51,101,42,50,-1,yes
copper,ore.mix.copper,217,51,167,/tp 217 51 167,248,190,244,154,181,54,27,-1,yes
sulfur,ore.mix.sulfur,267,11,-20,/tp 267 11 -20,251,243,292,-46,6,49,52,-1,yes
redstone,ore.mix.redstone,-19,13,267,/tp -19 13 267,252,-44,7,248,287,51,39,-1,yes
sulfur,ore.mix.sulfur,-84,9,-213,/tp -84 9 -213,253,-103,-64,-237,-189,39,48,-1,yes
iron,ore.mix.iron,70,20,267,/tp 70 20 267,254,58,82,255,280,24,25,-1,yes
tetrahedrite,ore.mix.tetrahedrite,114,114,-219,/tp 114 114 -219,255,97,131,-237,-200,34,37,-1,yes
netherquartz,ore.mix.netherquartz,258,74,-71,/tp 258 74 -71,255,240,277,-97,-45,37,52,-1,yes
iron,ore.mix.iron,-220,12,-75,/tp -220 12 -75,256,-243,-196,-102,-47,47,55,-1,yes
iron,ore.mix.iron,-165,15,-162,/tp -165 15 -162,257,-189,-140,-187,-137,49,50,-1,yes
netherquartz,ore.mix.netherquartz,263,58,117,/tp 263 58 117,263,254,272,100,135,18,35,-1,yes
redstone,ore.mix.redstone,215,19,-164,/tp 215 19 -164,267,203,228,-179,-149,25,30,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-166,81,211,/tp -166 81 211,267,-188,-143,193,229,45,36,-1,yes
iron,ore.mix.iron,-69,13,270,/tp -69 13 270,267,-89,-49,256,284,40,28,-1,yes
netherquartz,ore.mix.netherquartz,124,40,265,/tp 124 40 265,268,109,140,253,277,31,24,-1,yes
sulfur,ore.mix.sulfur,-218,8,-111,/tp -218 8 -111,270,-246,-189,-129,-93,57,36,-1,yes
manganese,ore.mix.manganese,-116,21,-220,/tp -116 21 -220,274,-131,-100,-235,-204,31,31,-1,yes
redstone,ore.mix.redstone,257,20,-122,/tp 257 20 -122,276,243,272,-143,-101,29,42,-1,yes
redstone,ore.mix.redstone,-215,13,168,/tp -215 13 168,278,-231,-199,155,181,32,26,-1,yes
netherquartz,ore.mix.netherquartz,-259,59,21,/tp -259 59 21,278,-276,-241,-7,49,35,56,-1,yes
tetrahedrite,ore.mix.tetrahedrite,164,106,258,/tp 164 106 258,280,145,183,234,282,38,48,-1,yes
iron,ore.mix.iron,262,31,158,/tp 262 31 158,280,245,280,138,179,35,41,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-259,9,-22,/tp -259 9 -22,281,-272,-246,-42,-1,26,41,-1,yes
sulfur,ore.mix.sulfur,-123,9,262,/tp -123 9 262,282,-140,-105,249,276,35,27,-1,yes
redstone,ore.mix.redstone,218,11,219,/tp 218 11 219,283,191,246,202,237,55,35,-1,yes
manganese,ore.mix.manganese,21,24,-266,/tp 21 24 -266,284,10,33,-279,-252,23,27,-1,yes
redstone,ore.mix.redstone,-22,9,-264,/tp -22 9 -264,285,-50,6,-281,-247,56,34,-1,yes
beryllium,ore.mix.beryllium,172,10,-222,/tp 172 10 -222,285,154,191,-236,-207,37,29,-1,yes
beryllium,ore.mix.beryllium,72,14,-264,/tp 72 14 -264,287,57,87,-278,-249,30,29,-1,yes
beryllium,ore.mix.beryllium,309,7,19,/tp 309 7 19,290,297,322,6,33,25,27,-1,yes
iron,ore.mix.iron,-25,31,306,/tp -25 31 306,291,-41,-9,282,331,32,49,-1,yes
copper,ore.mix.copper,21,12,310,/tp 21 12 310,292,10,32,297,324,22,27,-1,yes
tetrahedrite,ore.mix.tetrahedrite,77,81,306,/tp 77 81 306,294,57,98,283,329,41,46,-1,yes
sulfur,ore.mix.sulfur,311,9,63,/tp 311 9 63,295,284,338,46,80,54,34,-1,yes
copper,ore.mix.copper,-75,10,-263,/tp -75 10 -263,296,-90,-60,-278,-248,30,30,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,314,8,-20,/tp 314 8 -20,297,302,327,-32,-8,25,24,-1,yes
netherquartz,ore.mix.netherquartz,-167,64,-216,/tp -167 64 -216,299,-195,-138,-238,-194,57,44,-1,yes
copper,ore.mix.copper,-275,45,72,/tp -275 45 72,299,-295,-254,43,102,41,59,-1,yes
iron,ore.mix.iron,-267,19,-77,/tp -267 19 -77,301,-293,-240,-99,-55,53,44,-1,yes
manganese,ore.mix.manganese,-215,24,-171,/tp -215 24 -171,301,-225,-205,-187,-154,20,33,-1,yes
netherquartz,ore.mix.netherquartz,-69,60,307,/tp -69 60 307,302,-96,-41,283,331,55,48,-1,yes
copper,ore.mix.copper,118,27,306,/tp 118 27 306,305,94,142,283,330,48,47,-1,yes
redstone,ore.mix.redstone,-160,28,266,/tp -160 28 266,306,-183,-137,247,285,46,38,-1,yes
redstone,ore.mix.redstone,-269,13,121,/tp -269 13 121,306,-289,-248,98,145,41,47,-1,yes
sulfur,ore.mix.sulfur,122,5,-271,/tp 122 5 -271,307,102,143,-291,-250,41,41,-1,yes
manganese,ore.mix.manganese,-216,23,216,/tp -216 23 216,307,-224,-208,204,228,16,24,-1,yes
sulfur,ore.mix.sulfur,312,5,-75,/tp 312 5 -75,307,301,324,-93,-56,23,37,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,264,9,-173,/tp 264 9 -173,311,243,286,-189,-156,43,33,-1,yes
iron,ore.mix.iron,215,12,-224,/tp 215 12 -224,311,186,245,-247,-201,59,46,-1,yes
iron,ore.mix.iron,260,21,215,/tp 260 21 215,311,245,276,196,234,31,38,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-122,34,-264,/tp -122 34 -264,315,-135,-109,-278,-249,26,29,-1,yes
copper,ore.mix.copper,171,18,-258,/tp 171 18 -258,315,155,188,-278,-238,33,40,-1,yes
redstone,ore.mix.redstone,319,30,122,/tp 319 30 122,318,295,343,102,143,48,41,-1,yes
sulfur,ore.mix.sulfur,221,13,264,/tp 221 13 264,318,202,240,247,281,38,34,-1,yes
iron,ore.mix.iron,-263,13,165,/tp -263 13 165,318,-281,-245,153,178,36,25,-1,yes
tetrahedrite,ore.mix.tetrahedrite,164,81,307,/tp 164 81 307,323,152,177,292,322,25,30,-1,yes
sulfur,ore.mix.sulfur,-271,8,-124,/tp -271 8 -124,323,-285,-256,-139,-109,29,30,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-124,106,310,/tp -124 106 310,325,-145,-103,289,332,42,43,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-255,98,-162,/tp -255 98 -162,328,-274,-236,-176,-147,38,29,-1,yes
copper,ore.mix.copper,-311,34,20,/tp -311 34 20,330,-325,-296,-6,47,29,53,-1,yes
netherquartz,ore.mix.netherquartz,-216,50,-215,/tp -216 50 -215,331,-228,-204,-224,-205,24,19,-1,yes
manganese,ore.mix.manganese,22,22,-313,/tp 22 22 -313,331,8,36,-334,-291,28,43,-1,yes
iron,ore.mix.iron,351,30,21,/tp 351 30 21,332,332,371,10,32,39,22,-1,yes
sulfur,ore.mix.sulfur,-312,5,-21,/tp -312 5 -21,333,-334,-290,-38,-3,44,35,-1,yes
netherquartz,ore.mix.netherquartz,316,52,169,/tp 316 52 169,333,290,343,160,179,53,19,-1,yes
iron,ore.mix.iron,320,29,-126,/tp 320 29 -126,334,298,342,-139,-112,44,27,-1,yes
redstone,ore.mix.redstone,-306,12,-67,/tp -306 12 -67,336,-328,-283,-82,-51,45,31,-1,yes
iron,ore.mix.iron,-22,21,-316,/tp -22 21 -316,337,-47,4,-333,-298,51,35,-1,yes
sulfur,ore.mix.sulfur,-173,13,-260,/tp -173 13 -260,338,-186,-159,-276,-244,27,32,-1,yes
iron,ore.mix.iron,70,16,-316,/tp 70 16 -316,338,43,97,-329,-302,54,27,-1,yes
beryllium,ore.mix.beryllium,-314,7,74,/tp -314 7 74,338,-324,-304,61,87,20,26,-1,yes
quartz,ore.mix.quartz,29,84,356,/tp 29 84 356,338,15,44,343,370,29,27,-1,yes
iron,ore.mix.iron,255,12,264,/tp 255 12 264,341,234,276,240,288,42,48,-1,yes
iron,ore.mix.iron,309,15,-162,/tp 309 15 -162,341,288,330,-184,-139,42,45,-1,yes
redstone,ore.mix.redstone,62,22,356,/tp 62 22 356,341,41,84,333,380,43,47,-1,yes
copper,ore.mix.copper,-306,13,125,/tp -306 13 125,342,-329,-283,105,146,46,41,-1,yes
sulfur,ore.mix.sulfur,-225,13,259,/tp -225 13 259,343,-242,-207,244,274,35,30,-1,yes
beryllium,ore.mix.beryllium,-73,23,-313,/tp -73 23 -313,344,-89,-56,-323,-302,33,21,-1,yes
copper,ore.mix.copper,-172,23,305,/tp -172 23 305,345,-190,-153,289,322,37,33,-1,yes
iron,ore.mix.iron,113,21,-315,/tp 113 21 -315,346,92,135,-329,-300,43,29,-1,yes
sulfur,ore.mix.sulfur,270,8,-220,/tp 270 8 -220,346,252,288,-242,-197,36,45,-1,yes
iron,ore.mix.iron,366,21,-19,/tp 366 21 -19,349,347,386,-33,-5,39,28,-1,yes
tetrahedrite,ore.mix.tetrahedrite,358,104,-67,/tp 358 104 -67,349,329,387,-83,-51,58,32,-1,yes
sulfur,ore.mix.sulfur,-265,14,222,/tp -265 14 222,350,-275,-255,207,238,20,31,-1,yes
sulfur,ore.mix.sulfur,-75,7,356,/tp -75 7 356,351,-87,-62,332,380,25,48,-1,yes
tetrahedrite,ore.mix.tetrahedrite,368,98,72,/tp 368 98 72,353,349,388,53,91,39,38,-1,yes
iron,ore.mix.iron,-115,28,-310,/tp -115 28 -310,354,-131,-99,-328,-291,32,37,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-28,94,369,/tp -28 94 369,354,-54,-1,347,391,53,44,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-304,105,-126,/tp -304 105 -126,354,-322,-286,-140,-112,36,28,-1,yes
sulfur,ore.mix.sulfur,227,5,-270,/tp 227 5 -270,355,208,247,-287,-252,39,35,-1,yes
iron,ore.mix.iron,358,27,131,/tp 358 27 131,357,343,374,112,150,31,38,-1,yes
redstone,ore.mix.redstone,220,8,313,/tp 220 8 313,357,205,235,287,339,30,52,-1,yes
tetrahedrite,ore.mix.tetrahedrite,118,94,361,/tp 118 94 361,357,92,145,336,387,53,51,-1,yes
sulfur,ore.mix.sulfur,164,9,-309,/tp 164 9 -309,358,138,191,-336,-282,53,54,-1,yes
manganese,ore.mix.manganese,-310,20,169,/tp -310 20 169,362,-328,-292,151,188,36,37,-1,yes
copper,ore.mix.copper,-115,24,354,/tp -115 24 354,362,-139,-91,332,377,48,45,-1,yes
redstone,ore.mix.redstone,321,11,217,/tp 321 11 217,362,303,340,197,237,37,40,-1,yes
iron,ore.mix.iron,-212,22,-263,/tp -212 22 -263,364,-231,-193,-289,-236,38,53,-1,yes
iron,ore.mix.iron,162,16,354,/tp 162 16 354,365,148,176,338,371,28,33,-1,yes
copper,ore.mix.copper,-257,10,-222,/tp -257 10 -222,366,-274,-240,-243,-201,34,42,-1,yes
sulfur,ore.mix.sulfur,356,7,-129,/tp 356 7 -129,368,343,370,-148,-109,27,39,-1,yes
iron,ore.mix.iron,303,13,-221,/tp 303 13 -221,371,284,322,-238,-204,38,34,-1,yes
iron,ore.mix.iron,-23,17,-351,/tp -23 17 -351,371,-34,-12,-370,-332,22,38,-1,yes
netherquartz,ore.mix.netherquartz,21,61,-354,/tp 21 61 -354,372,2,41,-370,-338,39,32,-1,yes
iron,ore.mix.iron,259,25,-266,/tp 259 25 -266,372,243,275,-280,-252,32,28,-1,yes
beryllium,ore.mix.beryllium,-355,10,23,/tp -355 10 23,374,-370,-339,4,42,31,38,-1,yes
beryllium,ore.mix.beryllium,-212,14,314,/tp -212 14 314,375,-228,-195,294,335,33,41,-1,yes
beryllium,ore.mix.beryllium,-311,15,-167,/tp -311 15 -167,378,-328,-293,-188,-145,35,43,-1,yes
sulfur,ore.mix.sulfur,-303,5,217,/tp -303 5 217,379,-321,-285,207,228,36,21,-1,yes
iron,ore.mix.iron,366,22,175,/tp 366 22 175,381,349,383,154,196,34,42,-1,yes
iron,ore.mix.iron,-160,24,-319,/tp -160 24 -319,382,-179,-141,-337,-301,38,36,-1,yes
netherquartz,ore.mix.netherquartz,308,55,268,/tp 308 55 268,382,297,320,247,289,23,42,-1,yes
iron,ore.mix.iron,264,28,313,/tp 264 28 313,383,250,279,287,339,29,52,-1,yes
sulfur,ore.mix.sulfur,399,10,66,/tp 399 10 66,383,381,417,53,80,36,27,-1,yes
redstone,ore.mix.redstone,-270,14,270,/tp -270 14 270,383,-286,-253,248,292,33,44,-1,yes
beryllium,ore.mix.beryllium,21,23,402,/tp 21 23 402,384,1,41,385,420,40,35,-1,yes
netherquartz,ore.mix.netherquartz,-364,49,-21,/tp -364 49 -21,385,-379,-349,-46,5,30,51,-1,yes
sulfur,ore.mix.sulfur,-358,11,-70,/tp -358 11 -70,387,-384,-332,-83,-57,52,26,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,216,23,-315,/tp 216 23 -315,387,205,228,-328,-302,23,26,-1,yes
iron,ore.mix.iron,74,22,-367,/tp 74 22 -367,389,53,95,-388,-346,42,42,-1,yes
manganese,ore.mix.manganese,408,23,24,/tp 408 23 24,389,396,420,9,39,24,30,-1,yes
sulfur,ore.mix.sulfur,405,11,-27,/tp 405 11 -27,389,389,422,-37,-16,33,21,-1,yes
beryllium,ore.mix.beryllium,-367,23,70,/tp -367 23 70,389,-381,-352,53,88,29,35,-1,yes
sulfur,ore.mix.sulfur,-69,6,-361,/tp -69 6 -361,389,-95,-43,-386,-335,52,51,-1,yes
netherquartz,ore.mix.netherquartz,-205,47,-303,/tp -205 47 -303,391,-225,-185,-325,-281,40,44,-1,yes
copper,ore.mix.copper,127,10,-358,/tp 127 10 -358,391,103,151,-381,-335,48,46,-1,yes
sulfur,ore.mix.sulfur,-24,9,407,/tp -24 9 407,391,-41,-7,384,430,34,46,-1,yes
redstone,ore.mix.redstone,-162,20,367,/tp -162 20 367,393,-184,-139,350,384,45,34,-1,yes
sulfur,ore.mix.sulfur,-116,9,-351,/tp -116 9 -351,393,-139,-92,-373,-329,47,44,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-363,107,115,/tp -363 107 115,394,-391,-335,97,133,56,36,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-306,99,-207,/tp -306 99 -207,395,-327,-285,-225,-188,42,37,-1,yes
manganese,ore.mix.manganese,360,20,217,/tp 360 20 217,395,342,378,198,237,36,39,-1,yes
tetrahedrite,ore.mix.tetrahedrite,370,94,-166,/tp 370 94 -166,396,351,389,-186,-145,38,41,-1,yes
redstone,ore.mix.redstone,-70,34,404,/tp -70 34 404,396,-92,-48,379,430,44,51,-1,yes
sulfur,ore.mix.sulfur,-354,6,-118,/tp -354 6 -118,397,-370,-337,-138,-97,33,41,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,308,19,-259,/tp 308 19 -259,400,297,320,-275,-243,23,32,-1,yes
beryllium,ore.mix.beryllium,-268,12,-262,/tp -268 12 -262,401,-281,-254,-281,-243,27,38,-1,yes
copper,ore.mix.copper,73,50,415,/tp 73 50 415,401,47,99,393,437,52,44,-1,yes
iron,ore.mix.iron,407,31,-83,/tp 407 31 -83,401,399,416,-102,-64,17,38,-1,yes
netherquartz,ore.mix.netherquartz,216,63,369,/tp 216 63 369,403,203,230,350,389,27,39,-1,yes
quartz,ore.mix.quartz,-359,101,166,/tp -359 101 166,406,-371,-346,146,186,25,40,-1,yes
iron,ore.mix.iron,124,11,410,/tp 124 11 410,406,111,137,386,434,26,48,-1,yes
netherquartz,ore.mix.netherquartz,411,40,124,/tp 411 40 124,406,391,431,112,136,40,24,-1,yes
tetrahedrite,ore.mix.tetrahedrite,350,85,-223,/tp 350 85 -223,409,332,368,-242,-203,36,39,-1,yes
netherquartz,ore.mix.netherquartz,-274,69,305,/tp -274 69 305,410,-295,-253,290,321,42,31,-1,yes
iron,ore.mix.iron,175,26,-362,/tp 175 26 -362,411,157,194,-373,-351,37,22,-1,yes
redstone,ore.mix.redstone,400,6,171,/tp 400 6 171,411,377,424,156,187,47,31,-1,yes
copper,ore.mix.copper,-117,40,407,/tp -117 40 407,412,-133,-101,384,430,32,46,-1,yes
tetrahedrite,ore.mix.tetrahedrite,407,85,-124,/tp 407 85 -124,413,385,429,-137,-110,44,27,-1,yes
beryllium,ore.mix.beryllium,310,7,312,/tp 310 7 312,414,296,325,289,335,29,46,-1,yes
sulfur,ore.mix.sulfur,-168,14,-355,/tp -168 14 -355,417,-185,-150,-375,-335,35,40,-1,yes
iron,ore.mix.iron,-312,33,271,/tp -312 33 271,417,-331,-293,247,295,38,48,-1,yes
copper,ore.mix.copper,268,19,-318,/tp 268 19 -318,418,254,283,-332,-303,29,29,-1,yes
sulfur,ore.mix.sulfur,175,10,407,/tp 175 10 407,419,152,199,379,435,47,56,-1,yes
manganese,ore.mix.manganese,218,23,-353,/tp 218 23 -353,421,207,229,-369,-337,22,32,-1,yes
redstone,ore.mix.redstone,272,14,356,/tp 272 14 356,422,256,289,339,373,33,34,-1,yes
sulfur,ore.mix.sulfur,362,12,266,/tp 362 12 266,423,347,378,241,292,31,51,-1,yes
netherquartz,ore.mix.netherquartz,-358,41,-173,/tp -358 41 -173,423,-374,-341,-196,-150,33,46,-1,yes
sulfur,ore.mix.sulfur,-218,9,370,/tp -218 9 370,424,-244,-192,349,391,52,42,-1,yes
manganese,ore.mix.manganese,-17,23,-404,/tp -17 23 -404,424,-32,-1,-419,-389,31,30,-1,yes
copper,ore.mix.copper,-261,52,-305,/tp -261 52 -305,427,-272,-249,-323,-287,23,36,-1,yes
sulfur,ore.mix.sulfur,-361,9,212,/tp -361 9 212,427,-375,-347,190,235,28,45,-1,yes
copper,ore.mix.copper,-408,7,19,/tp -408 7 19,427,-433,-383,5,34,50,29,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-307,96,-259,/tp -307 96 -259,428,-328,-286,-283,-234,42,49,-1,yes
tetrahedrite,ore.mix.tetrahedrite,18,81,-412,/tp 18 81 -412,430,4,33,-435,-389,29,46,-1,yes
sulfur,ore.mix.sulfur,447,7,78,/tp 447 7 78,432,430,465,59,98,35,39,-1,yes
copper,ore.mix.copper,-80,18,-404,/tp -80 18 -404,433,-100,-59,-416,-392,41,24,-1,yes
