Item,Value,Limit,Notes
Blaze Rod,278.4,,"was 50; 898 seen in 5000 seeds, mean 0.18/seed"
Cobalt Brass Ingot,194.9,,"was 50; 1283 seen in 5000 seeds, mean 0.257/seed"
Aeon Steel Tough Rod,193.3,,"was 150; 3880 seen in 5000 seeds, mean 0.776/seed"
Thaumium Ingot,175.1,,"was 50; 1428 seen in 5000 seeds, mean 0.286/seed"
Iron Rod,149.3,,"was 20; 670 seen in 5000 seeds, mean 0.134/seed"
Piston,140.1,,"was 50; 1785 seen in 5000 seeds, mean 0.357/seed"
Iron Ring,137.9,,"was 20; 725 seen in 5000 seeds, mean 0.145/seed"
Iron Screw,137.6,,"was 20; 727 seen in 5000 seeds, mean 0.145/seed"
Tin Screw,125.8,,"was 20; 795 seen in 5000 seeds, mean 0.159/seed"
Digger's Backpack,120.7,10,"was 500; 20720 seen in 5000 seeds, mean 4.14/seed"
Cupronickel Ingot,113.3,,"was 20; 883 seen in 5000 seeds, mean 0.177/seed"
Alumite Tough Rod,92.63,,"was 100; 5398 seen in 5000 seeds, mean 1.08/seed"
Antimony Ingot,88.62,,"was 50; 2821 seen in 5000 seeds, mean 0.564/seed"
Saw,58.41,,"was 200; 17119 seen in 5000 seeds, mean 3.42/seed"
Screwdriver,58.3,,"was 200; 17152 seen in 5000 seeds, mean 3.43/seed"
Electrum Ingot,57.01,,"was 10; 877 seen in 5000 seeds, mean 0.175/seed"
Plant Lens,43.35,2,"was 100; 11534 seen in 5000 seeds, mean 2.31/seed"
Lunch Box,43.11,10,"was 50; 5799 seen in 5000 seeds, mean 1.16/seed"
Knowledge Fragment,42.02,,"was 5; 595 seen in 5000 seeds, mean 0.119/seed"
LootBag (dreamcraft.lootbag.group.bees_basic),37.41,,"was 100; 13364 seen in 5000 seeds, mean 2.67/seed"
Exquisite Diamond,25.34,,"was 500; 98675 seen in 5000 seeds, mean 19.7/seed"
Brass Ingot,23.73,,"was 10; 2107 seen in 5000 seeds, mean 0.421/seed"
Beef Wellington,22.01,,"was 5; 1136 seen in 5000 seeds, mean 0.227/seed"
Delighted Meal,21.8,,"was 5; 1147 seen in 5000 seeds, mean 0.229/seed"
LootBag (dreamcraft.lootbag.group.basic_stone_age),20.95,,"was 100; 23867 seen in 5000 seeds, mean 4.77/seed"
Miniature Red Heart,20.92,,"was 5; 1195 seen in 5000 seeds, mean 0.239/seed"
Invar Ingot,19.14,,"was 30; 7838 seen in 5000 seeds, mean 1.57/seed"
Rare Treasure,17.53,,"was 100; 28515 seen in 5000 seeds, mean 5.7/seed"
Nickel Ingot,14.19,,"was 50; 17616 seen in 5000 seeds, mean 3.52/seed"
Electrical Steel Ingot,13.61,,"was 10; 3673 seen in 5000 seeds, mean 0.735/seed"
Crowbar,13.27,,"was 50; 18841 seen in 5000 seeds, mean 3.77/seed"
Deluxe Cheeseburger,12.11,,"was 5; 2064 seen in 5000 seeds, mean 0.413/seed"
Bucket,10.83,,"was 100; 46148 seen in 5000 seeds, mean 9.23/seed"
Magnetic Iron Ingot,9.033,,"was 20; 11071 seen in 5000 seeds, mean 2.21/seed"
Obsidian Tough Binding,6.718,,"was 15; 11164 seen in 5000 seeds, mean 2.23/seed"
Neodymium Dust,3.782,,"was 10; 13220 seen in 5000 seeds, mean 2.64/seed"
LootBag (dreamcraft.lootbag.group.fast_food),2.688,,"was 20; 37209 seen in 5000 seeds, mean 7.44/seed"
Manganese Ingot,2.539,,"was 10; 19693 seen in 5000 seeds, mean 3.94/seed"
Potion of Swiftness,2.259,10,"was 100; 221336 seen in 5000 seeds, mean 44.3/seed"
Uncommon Treasure,2.07,,"was 50; 120768 seen in 5000 seeds, mean 24.2/seed"
Vanadiumsteel Ingot,1.526,,"was 100; 327752 seen in 5000 seeds, mean 65.6/seed"
Damascus Steel Ingot,1.511,,"was 100; 331003 seen in 5000 seeds, mean 66.2/seed"
Steel Ingot,1.299,,"was 100; 385031 seen in 5000 seeds, mean 77/seed"
Obsidian Binding,1.106,,"was 5; 22599 seen in 5000 seeds, mean 4.52/seed"
Flint and Steel,1.081,,"was 5; 23120 seen in 5000 seeds, mean 4.62/seed"
Exquisite Sapphire,1.053,,"was 10; 47480 seen in 5000 seeds, mean 9.5/seed"
Common Treasure,0.9805,,"was 5; 25497 seen in 5000 seeds, mean 5.1/seed"
Coal Coke,0.8707,,"was 5; 28712 seen in 5000 seeds, mean 5.74/seed"
Red Alloy Ingot,0.8544,,"was 100; 585176 seen in 5000 seeds, mean 117/seed"
Zinc Ingot,0.8409,,"was 20; 118917 seen in 5000 seeds, mean 23.8/seed"
Diamond,0.8144,,"was 100; 613916 seen in 5000 seeds, mean 123/seed"
Firestone Dust,0.7776,,"was 10; 64303 seen in 5000 seeds, mean 12.9/seed"
Cast Iron Ingot,0.6366,,"was 50; 392729 seen in 5000 seeds, mean 78.5/seed"
Exquisite Emerald,0.505,,"was 10; 99010 seen in 5000 seeds, mean 19.8/seed"
Name Tag,0.4562,,"was 5; 54797 seen in 5000 seeds, mean 11/seed"
Lead Ingot,0.3598,,"was 20; 277907 seen in 5000 seeds, mean 55.6/seed"
Ender Pearl,0.3485,,"was 50; 717425 seen in 5000 seeds, mean 143/seed"
Copper Ingot,0.3162,,"was 20; 316305 seen in 5000 seeds, mean 63.3/seed"
Tumbaga Ingot,0.2532,,"was 50; 987306 seen in 5000 seeds, mean 197/seed"
Forester's Backpack,0.2431,,"was 1; 20570 seen in 5000 seeds, mean 4.11/seed"
Tin Ingot,0.1701,,"was 20; 587789 seen in 5000 seeds, mean 118/seed"
Ghast Tear,0.1463,,"was 10; 341713 seen in 5000 seeds, mean 68.3/seed"
Treetap,0.1443,,"was 1; 34642 seen in 5000 seeds, mean 6.93/seed"
Leather,0.1173,,"was 5; 213064 seen in 5000 seeds, mean 42.6/seed"
Ancient Debris,0.1173,,"was 1; 42616 seen in 5000 seeds, mean 8.52/seed"
Iron Ingot,0.1162,,"was 20; 860552 seen in 5000 seeds, mean 172/seed"
Potion of Invisibility,0.06971,,"was 1; 71729 seen in 5000 seeds, mean 14.3/seed"
Bronze Ingot,0.03226,,"was 30; 4649516 seen in 5000 seeds, mean 930/seed"
Gold Ingot,0.02963,,"was 20; 3374406 seen in 5000 seeds, mean 675/seed"
Silver Ingot,0.0289,,"was 20; 3459750 seen in 5000 seeds, mean 692/seed"
Splash Potion of Night Vision,0.02051,,"was 1; 243779 seen in 5000 seeds, mean 48.8/seed"
Splash Potion of Regeneration,0.02046,,"was 1; 244409 seen in 5000 seeds, mean 48.9/seed"
Coal,0.004713,,"was 5; 5304578 seen in 5000 seeds, mean 1060/seed"
Lapis Lazuli,0.003248,,"was 5; 7697820 seen in 5000 seeds, mean 1540/seed"
Clay,0.002116,,"was 5; 11813378 seen in 5000 seeds, mean 2360/seed"
Redstone,0.001562,,"was 5; 16002069 seen in 5000 seeds, mean 3200/seed"
