meta,material,display_name,config_key,harvest_level,harvest_level_name,durability,mining_speed,attack,handle_modifier,reinforced,shoddy,trait,xp_amount,roles,parts_found,n_parts,as_head,as_head_add,as_handle,as_trait_only,as_bow_limb,tough_tier,durability_x_best_rod,durability_x_best_tough_rod,rod_gain_pct,reinforced_donor,parts_restricted,restricted_to,found_not_craftable,exp_TinkerHouse,exp_rogue_TOOLS_L0,exp_rogue_TOOLS_L1,exp_rogue_TOOLS_L2,exp_rogue_TOOLS_L3,exp_rogue_TOOLS_L4,exp_rogue_WEAPONS_L0,exp_rogue_WEAPONS_L1,exp_rogue_WEAPONS_L2,exp_rogue_WEAPONS_L3,exp_rogue_WEAPONS_L4
11,Ardite,Ardite,ardite,7,Cobalt,455,8,4,2.1,0,2,Stonebound 2,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;excavatorHead;hammerHead;handGuard;heavyPlate;largeSwordBlade;scytheBlade;swordBlade;toughBinding;toughRod;wideGuard,13,yes,yes,yes,yes,yes,excavatorHead;hammerHead;heavyPlate;largeSwordBlade;scytheBlade;toughBinding;toughRod,682,955,+110,,,,,,,,,,0.6667,,,,,1.1667
13,Copper,Copper,copper,2,Iron,135,5,2,1.1,0,0,,1,head;trait-only,binding;chiselHead;crossbar;frypanHead;handGuard;knifeBlade;signHead;swordBlade;wideGuard,9,yes,,,yes,,,202,,,,,,,2.1072,,,,,,,,,,
14,Bronze,Bronze,bronze,4,Redstone,285,6.5,3,1.25,1,0,,1,handle;head;head-add;trait-only,arrowhead;binding;chiselHead;crossbar;frypanHead;handGuard;hatchetHead;knifeBlade;shovelHead;signHead;swordBlade;toolRod;wideGuard,13,yes,yes,yes,yes,,,427,,+25,yes,,,,2.1072,,0.6667,,,,,1.1429,,,
15,Alumite,Alumite,alumite,6,Ardite,413,7.9,4,1.3,2,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;excavatorHead;hammerHead;heavyPlate;largeSwordBlade;swordBlade;toughBinding;toughRod;wideGuard,11,yes,yes,yes,yes,yes,excavatorHead;hammerHead;heavyPlate;largeSwordBlade;toughBinding;toughRod,619,867,+30,yes,,,,,,,,0.5556,,,,,1.0000,
16,Steel,Steel,steel,5,Obsidian,300,7,3,1.3,2,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;excavatorHead;hammerHead;handGuard;heavyPlate;largeSwordBlade;scytheBlade;swordBlade;toughBinding;toughRod;wideGuard,13,yes,yes,yes,yes,yes,excavatorHead;hammerHead;heavyPlate;largeSwordBlade;scytheBlade;toughBinding;toughRod,450,629,+30,yes,,,,,,,,0.6667,,,,,1.1667,
17,BlueSlime,Slime,blueslime,0,Stone,900,1.5,1,1.5,0,0,,1,trait-only,binding,1,,,,yes,,,,,,,yes,rod;binding;bowlimb;crossbowlimb;crossbowbody,,0.2341,,,,,,,,,,
18,PigIron,Pig Iron,pigiron,5,Obsidian,500,7.8,3,1.35,1,0,,1,handle;head;head-add;trait-only,arrowhead;binding;frypanHead;handGuard;hatchetHead;knifeBlade;shovelHead;swordBlade;toolRod;wideGuard,10,yes,yes,yes,yes,,,750,,+35,yes,,,,,,0.6667,,,,,1.1429,,,
201,Aeonsteel,Aeon Steel,aeonsteel,6,Ardite,617,11,3,1.6,2,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;excavatorHead;hammerHead;handGuard;heavyPlate;largeSwordBlade;scytheBlade;swordBlade;toughBinding;toughRod;wideGuard,13,yes,yes,yes,yes,yes,excavatorHead;hammerHead;heavyPlate;largeSwordBlade;scytheBlade;toughBinding;toughRod,925,1295,+60,yes,,,,,,,,,0.6667,,,,,1.1667
202,QueensGold,Queen's Gold,queensgold,5,Obsidian,75,5,2,1,0,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;binding;handGuard;hatchetHead;heavyPlate;largeSwordBlade;shovelHead;swordBlade;toolRod;toughBinding;toughRod;wideGuard,14,yes,yes,yes,yes,yes,heavyPlate;largeSwordBlade;toughBinding;toughRod,112,157,+0,,,,,,,,0.6667,,,,,1.1667,,
1595,Electrum,Electrum,electrum,3,Tin,48,12,2,1.5,0,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;binding;handGuard;hatchetHead;heavyPlate;largeSwordBlade;shovelHead;swordBlade;toolRod;toughBinding;toughRod;wideGuard,14,yes,yes,yes,yes,yes,heavyPlate;largeSwordBlade;toughBinding;toughRod,72,100,+50,,,,,,,,0.6667,,,,,1.1667,,
1647,SteelMagnetic,Magnetic Steel,steelmagnetic,3,Tin,384,6,2,1.5,1,0,,1,bow-limb;handle;head;head-add;trait-only,BowLimbPart;CrossbowLimbPart;arrowhead;excavatorHead;hammerHead;handGuard;heavyPlate;largeSwordBlade;scytheBlade;swordBlade;toughBinding;toughRod;wideGuard,13,yes,yes,yes,yes,yes,excavatorHead;hammerHead;heavyPlate;largeSwordBlade;scytheBlade;toughBinding;toughRod,576,806,+50,yes,,,,,,,,0.6667,,,,,1.1667,
